"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
2019-10-08 06:18:04,-18.1057,-69.4843,138.3,4.6,"mwr",NA,115,0.229,1.24,"us","us70005rv1","2019-12-28T20:45:48.040Z","13km NE of Putre, Chile","earthquake",6.3,5.5,NA,NA,"reviewed","us","guc"
2019-10-02 07:04:32,-14.1223,-76.0324,52.21,4.3,"mb",NA,169,2.263,1.06,"us","us70005pq6","2019-12-27T15:49:50.040Z","31km WSW of Subtanjalla, Peru","earthquake",10.7,15.5,0.154,12,"reviewed","us","us"
2019-09-27 13:57:41,-15.2842,-72.1261,80.54,4.6,"mb",NA,115,3.42,0.57,"us","us70005mh9","2019-12-20T19:03:17.040Z","23km E of Orcopampa, Peru","earthquake",6,7.8,0.081,45,"reviewed","us","us"
2019-09-27 04:32:43,-8.9103,-74.9261,35,4.6,"mb",NA,85,3.592,0.65,"us","us70005m7b","2019-12-20T19:03:09.040Z","49km SSW of Campoverde, Peru","earthquake",8.2,2,0.084,42,"reviewed","us","us"
2019-09-27 03:17:58,-8.2289,-74.2649,140.92,4.8,"mb",NA,71,4.234,0.67,"us","us70005m6j","2019-12-20T19:03:08.040Z","35km ENE of Pucallpa, Peru","earthquake",8.3,6.7,0.036,236,"reviewed","us","us"
2019-09-25 20:08:53,-10.0721,-75.1042,122.69,4.4,"mb",NA,90,2.556,0.61,"us","us70005lbh","2019-12-20T19:02:38.040Z","64km NNE of Oxapampa, Peru","earthquake",8.1,6.3,0.169,10,"reviewed","us","us"
2019-09-22 05:28:24,-14.6866,-73.5712,67.19,4.9,"mb",NA,130,4.163,0.49,"us","us60005lxn","2019-12-10T17:27:03.040Z","39km ENE of Tambo, Peru","earthquake",2.6,7,0.06,88,"reviewed","us","us"
2019-09-20 05:33:49,-16.495,-71.8632,127.52,4.2,"mb",NA,145,2.526,1.08,"us","us70005mix","2019-12-10T17:27:15.040Z","33km SW of Yura, Peru","earthquake",9.1,8.8,0.186,8,"reviewed","us","us"
2019-09-19 17:55:26,-2.1117,-80.2094,54.01,4,"mb",NA,177,1.014,0.62,"us","us70005mf6","2019-12-10T17:27:14.040Z","24km WNW of Santa Lucia, Ecuador","earthquake",8.4,15.7,0.212,6,"reviewed","us","us"
2019-09-18 13:13:54,-15.6584,-74.0643,66.25,4.4,"mb",NA,143,4.538,0.68,"us","us70005huy","2019-12-10T17:27:10.040Z","64km ESE of Acari, Peru","earthquake",10,8.6,0.121,20,"reviewed","us","us"
2019-09-16 05:54:18,-3.8102,-76.2745,110.01,4.6,"mb",NA,82,3.264,0.69,"us","us70005gws","2019-12-05T18:31:09.040Z","122km NNE of Barranca, Peru","earthquake",7,7.3,0.065,70,"reviewed","us","us"
2019-09-15 03:25:38,-17.9294,-69.5951,144.37,4.4,"mb",NA,136,0.355,0.85,"us","us70005gk8","2019-12-05T18:31:06.040Z","29km N of Putre, Chile","earthquake",7.9,5.1,0.179,9,"reviewed","us","us"
2019-09-11 15:18:03,-1.8675,-77.8884,142.67,4.5,"mb",NA,71,1.491,1.04,"us","us70005et4","2019-12-05T18:30:58.040Z","19km SSE of Palora, Ecuador","earthquake",7.3,5.8,0.044,149,"reviewed","us","us"
2019-09-11 14:52:30,-18.0263,-70.0244,93.76,4.5,"mwr",NA,140,0.579,1.06,"us","us70005esi","2019-12-05T18:30:58.040Z","23km E of Tacna, Peru","earthquake",8.7,6.4,0.093,11,"reviewed","us","us"
2019-09-07 19:02:50,-6.3808,-75.6762,10,4.6,"mb",NA,63,2.801,0.87,"us","us70005d95","2019-11-30T19:36:54.040Z","55km ENE of Chazuta, Peru","earthquake",6.2,1.9,0.098,31,"reviewed","us","us"
2019-09-06 13:33:48,-5.7549,-75.3202,125.41,4.5,"mb",NA,64,3.255,0.59,"us","us70005cs1","2019-11-30T19:37:04.040Z","70km SE of Lagunas, Peru","earthquake",8.2,7.8,0.07,60,"reviewed","us","us"
2019-09-05 13:52:51,-9.2681,-78.9295,59.23,4.6,"mb",NA,147,3.393,0.84,"us","us70005cad","2019-11-30T19:37:13.040Z","43km WSW of Chimbote, Peru","earthquake",9.9,8.7,0.066,69,"reviewed","us","us"
2019-09-05 11:09:01,-17.561,-69.4944,171.38,4.6,"mb",NA,82,0.031,0.83,"us","us70005c9b","2019-11-30T19:37:14.040Z","57km E of Tarata, Peru","earthquake",7.5,5.1,0.193,8,"reviewed","us","us"
2019-09-03 10:10:14,-8.8871,-76.2011,118.44,4.8,"mb",NA,74,2.783,0.91,"us","us70005ben","2019-11-30T19:37:30.040Z","49km NNW of Tingo Maria, Peru","earthquake",6.1,4.5,0.028,396,"reviewed","us","us"
2019-09-02 16:35:27,-14.0458,-72.5498,80,5,"mww",NA,73,4.598,0.83,"us","us70005b70","2019-11-15T17:21:57.040Z","57km SE of Abancay, Peru","earthquake",3.5,1.9,0.089,12,"reviewed","us","us"
2019-08-30 11:25:30,-17.707,-69.6707,159.37,4.5,"mb",NA,103,0.216,0.67,"us","us70005a69","2019-11-15T17:20:31.040Z","46km SE of Tarata, Peru","earthquake",7.1,4.4,0.106,26,"reviewed","us","us"
2019-08-30 03:46:55,-17.3313,-70.7183,118.97,4.3,"mb",NA,210,1.094,0.56,"us","us70005cbs","2019-11-15T17:20:24.040Z","23km WNW of Ilabaya, Peru","earthquake",10.6,11.4,0.266,4,"reviewed","us","us"
2019-08-29 04:21:33,-9.8196,-76.4539,116.86,4.5,"mb",NA,130,2.188,0.62,"us","us700059he","2019-11-15T17:19:54.040Z","26km WNW of Huanuco, Peru","earthquake",8.1,6.6,0.046,136,"reviewed","us","us"
2019-08-27 02:20:18,-10.8626,-73.997,113.54,4.6,"mb",NA,82,3.005,0.68,"us","us700058mb","2019-11-15T17:18:40.040Z","77km NE of Mazamari, Peru","earthquake",7.1,7.2,0.073,56,"reviewed","us","us"
2019-08-27 00:08:30,-8.5033,-74.9515,134.42,4.7,"mb",NA,110,2.353,0.52,"us","us700058lm","2019-11-15T17:18:38.040Z","16km W of Campoverde, Peru","earthquake",7.8,7,0.034,263,"reviewed","us","us"
