"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
2019-09-21 15:06:12,-17.6272,-178.9064,569.13,4,"mb",NA,191,2.901,0.88,"us","us70005mkv","2019-12-10T17:27:17.040Z","226km SE of Lambasa, Fiji","earthquake",14.9,18.5,0.119,19,"reviewed","us","us"
2019-09-19 23:43:31,-17.9171,-178.3567,597.94,4.1,"mb",NA,81,3.424,1.04,"us","us70005mff","2019-12-10T17:27:15.040Z","292km SE of Lambasa, Fiji","earthquake",12,5,0.059,78,"reviewed","us","us"
2019-09-19 15:03:23,-17.7749,-179.457,592.77,4.1,"mb",NA,110,3.678,0.62,"us","us70005mf4","2019-12-10T17:27:14.040Z","194km SE of Lambasa, Fiji","earthquake",24,17.7,0.158,12,"reviewed","us","us"
2019-09-19 01:03:20,-17.4802,179.5836,576.83,4.5,"mb",NA,140,1.483,0.55,"us","us70005mer","2019-12-10T17:27:14.040Z","119km S of Lambasa, Fiji","earthquake",15.1,7.6,0.15,13,"reviewed","us","us"
2019-09-18 08:48:16,-17.6025,-178.6227,534.25,4.6,"mb",NA,81,3.172,0.82,"us","us70005ht7","2019-12-10T17:27:10.040Z","249km ESE of Lambasa, Fiji","earthquake",15.1,7.9,0.1,30,"reviewed","us","us"
2019-09-18 03:15:56,-17.8538,-178.4581,649.64,4.4,"mb",NA,111,3.325,0.86,"us","us70005lqh","2019-12-10T17:27:13.040Z","279km SE of Lambasa, Fiji","earthquake",13.6,9.5,0.069,61,"reviewed","us","us"
2019-09-16 14:40:49,-17.9747,-178.432,582.8,4.5,"mb",NA,120,7.569,0.25,"us","us60005mvj","2019-12-05T18:30:52.040Z","289km SE of Lambasa, Fiji","earthquake",17,12.9,0.131,17,"reviewed","us","us"
2019-09-16 06:33:15,-17.6225,-178.6984,538.95,4.6,"mb",NA,55,3.099,0.86,"us","us70005gwz","2019-12-05T18:31:09.040Z","243km ESE of Lambasa, Fiji","earthquake",7.5,7.9,0.027,419,"reviewed","us","us"
2019-09-15 14:03:08,-17.8601,179.5163,644.67,4.5,"mb",NA,89,1.399,0.55,"us","us60005m99","2019-12-05T18:30:52.040Z","118km ENE of Suva, Fiji","earthquake",13.7,11.4,0.131,17,"reviewed","us","us"
2019-09-14 05:42:52,-17.5729,-178.9523,540.21,4.3,"mb",NA,133,2.86,0.57,"us","us70005g9m","2019-12-05T18:31:04.040Z","218km SE of Lambasa, Fiji","earthquake",14.8,9.2,0.1,28,"reviewed","us","us"
2019-09-09 10:25:41,-17.6642,-178.5782,543.77,4.3,"mb",NA,119,3.212,0.6,"us","us70005htv","2019-11-30T19:36:09.040Z","257km ESE of Lambasa, Fiji","earthquake",14.7,9.9,0.101,32,"reviewed","us","us"
