"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
2017-08-10 00:41:00,30.8578,-103.3998,5,2.6,"ml",NA,64,0.523,0.44,"us","us2000a6r7","2017-10-25T00:38:06.040Z","49km W of Fort Stockton, Texas","earthquake",3.3,2,0.091,46,"reviewed","us","us"
2017-08-07 20:14:47,14.0057,-91.7182,46.57,4.4,"mb",NA,200,0.516,0.8,"us","us2000a7b8","2017-10-25T00:38:02.040Z","38km SSE of Champerico, Guatemala","earthquake",10.3,5.7,0.139,15,"reviewed","us","us"
2017-08-04 17:05:36,31.161,-103.2706,2.75,2.8,"mb_lg",NA,76,0.551,0.86,"us","us2000a4kd","2017-10-18T01:54:18.040Z","35km SE of Pecos, Texas","earthquake",1.3,5.4,0.075,46,"reviewed","us","us"
2017-08-01 11:35:52,13.5906,-91.1033,10,4.1,"mb",NA,164,1.091,0.89,"us","us2000a390","2017-10-18T01:54:13.040Z","47km SW of Puerto San Jose, Guatemala","earthquake",7.4,2,0.091,33,"reviewed","us","us"
2017-07-31 20:52:03,14.2739,-90.4875,10,3.9,"ml",NA,154,1.099,0.95,"us","us2000a2zn","2017-10-18T01:54:12.040Z","5km NNW of Pueblo Nuevo Vinas, Guatemala","earthquake",2.7,2,0.077,22,"reviewed","us","us"
2017-07-26 02:37:27,13.2193,-87.7501,202.07,4.7,"mb",NA,132,0.858,1.04,"us","us2000a16h","2017-10-14T00:19:40.040Z","13km SW of Amapala, Honduras","earthquake",8.1,7.9,0.044,156,"reviewed","us","us"
2017-07-25 17:00:36,14.1582,-90.897,115.38,4.1,"mb",NA,168,0.854,0.77,"us","us2000a28b","2017-10-14T00:19:40.040Z","7km SW of Masagua, Guatemala","earthquake",8,8,0.369,2,"reviewed","us","us"
2017-07-19 11:26:18,14.4491,-90.4721,194.89,4.8,"mb",NA,135,1.078,0.56,"us","us20009xwz","2017-10-11T01:03:56.040Z","3km WSW of Fraijanes, Guatemala","earthquake",5.7,7.3,0.047,140,"reviewed","us","us"
2017-07-12 10:08:41,13.3962,-89.8029,68.87,4.6,"mb",NA,152,0.626,0.92,"us","us1000993a","2017-10-06T23:56:15.040Z","21km S of Acajutla, El Salvador","earthquake",6.7,6.9,0.032,297,"reviewed","us","us"
2017-07-10 22:24:33,13.7796,-90.6967,72.07,4.4,"mb",NA,161,1.219,1.38,"us","us100098nn","2017-10-06T23:56:13.040Z","17km S of Iztapa, Guatemala","earthquake",8.3,8.1,0.046,138,"reviewed","us","us"
2017-07-05 16:07:36,13.7152,-90.7273,43.78,5.1,"mb",NA,72,1.236,1.17,"us","us100096z1","2017-10-03T00:47:50.040Z","24km S of Iztapa, Guatemala","earthquake",8,1.6,0.025,529,"reviewed","us","us"
2017-07-05 15:55:05,13.5814,-90.9309,35,4.3,"mb",NA,146,1.195,1.25,"us","us100096yz","2017-10-03T00:47:50.040Z","39km SSW of Puerto San Jose, Guatemala","earthquake",7.5,1.7,0.079,45,"reviewed","us","us"
2017-07-05 15:45:43,13.6093,-90.9189,35,4.6,"mb",NA,151,1.181,1.37,"us","us100096yu","2017-10-03T00:47:50.040Z","36km SSW of Puerto San Jose, Guatemala","earthquake",5.9,2,0.036,230,"reviewed","us","us"
2017-07-04 12:37:28,13.6551,-91.007,35,4.2,"mb",NA,184,1.092,1.4,"us","us100096n1","2017-10-03T00:47:48.040Z","35km SSW of Puerto San Jose, Guatemala","earthquake",7.4,2,0.066,64,"reviewed","us","us"
2017-07-02 09:00:46,29.0542,-97.9082,5.45,3,"mb_lg",NA,105,0.216,0.52,"us","us100095ul","2017-10-03T00:47:44.040Z","17km E of Poth, Texas","earthquake",4.1,7,0.064,64,"reviewed","us","us"
2017-06-30 13:01:01,13.5409,-90.8582,47.3,4.9,"mb",NA,89,1.271,1.32,"us","us100095hc","2017-09-27T02:03:19.040Z","42km S of Puerto San Jose, Guatemala","earthquake",6.8,5.2,0.046,148,"reviewed","us","us"
2017-06-26 13:42:38,14.0866,-90.8846,35,4.3,"mb",NA,204,0.898,0.86,"us","us100096fs","2017-09-27T02:03:13.040Z","13km SSW of Masagua, Guatemala","earthquake",6.6,2,0.178,9,"reviewed","us","us"
2017-06-23 03:08:13,13.7279,-91.0928,48.92,4.5,"mb",NA,144,0.984,1.04,"us","us20009p75","2017-08-23T16:35:48.040Z","36km SW of Puerto San Jose, Guatemala","earthquake",7.6,7,0.035,234,"reviewed","us","us"
2017-06-22 21:09:46,13.7438,-90.9305,49.93,4.2,"mb",NA,173,1.073,0.66,"us","us20009p48","2017-08-23T16:35:47.040Z","23km SSW of Puerto San Jose, Guatemala","earthquake",9.1,11.2,0.089,35,"reviewed","us","us"
2017-06-22 14:51:41,13.9021,-91.0489,35,4.1,"mb",NA,193,0.88,1.34,"us","us10009568","2017-08-23T16:35:43.040Z","20km S of La Gomera, Guatemala","earthquake",4.6,2,0.135,15,"reviewed","us","us"
2017-06-22 14:28:11,13.6553,-91.067,35,4.3,"mb",NA,187,1.057,1.14,"us","us20009p1x","2017-08-23T16:35:47.040Z","39km SW of Puerto San Jose, Guatemala","earthquake",3.8,2,0.079,45,"reviewed","us","us"
2017-06-22 12:31:03,13.7174,-90.9718,38.12,6.8,"mww",NA,38,1.065,1.46,"us","us20009p1a","2020-01-03T01:03:44.067Z","28km SW of Puerto San Jose, Guatemala","earthquake",6.8,3.5,0.028,123,"reviewed","us","us"
2017-06-20 20:33:58,13.796,-91.4099,45.74,4.4,"mb",NA,171,0.775,0.84,"us","us20009nsv","2017-08-23T16:35:46.040Z","46km SSW of Nueva Concepcion, Guatemala","earthquake",6.7,8.2,0.058,86,"reviewed","us","us"
2017-06-15 03:54:16,31.1111,-103.4911,5,2.6,"ml",NA,66,0.413,0.75,"us","us20009mkd","2017-08-18T23:13:28.040Z","34km S of Pecos, Texas","earthquake",3.8,1.2,0.091,16,"reviewed","us","us"
2017-06-14 21:14:52,13.9489,-92.3821,10,5.1,"mb",NA,84,0.878,1.11,"us","us20009mim","2017-08-18T23:13:28.040Z","63km SW of Champerico, Guatemala","earthquake",4.7,1.8,0.04,204,"reviewed","us","us"
2017-06-14 07:52:42,14.7843,-91.9951,91.77,5.1,"mb",NA,88,0.288,1.04,"us","us20009mc1","2017-08-18T23:13:27.040Z","8km NNE of Pajapita, Guatemala","earthquake",7.5,5,0.035,258,"reviewed","us","us"
2017-06-14 07:29:04,14.9091,-92.0092,93,6.9,"mww",NA,35,0.247,1.42,"us","us20009mbt","2020-01-03T01:03:18.373Z","2km SSW of San Pablo, Guatemala","earthquake",2.8,2.2,0.026,146,"reviewed","us","us"
2017-06-14 02:32:46,13.7811,-92.4326,10,4.4,"mb",NA,182,1.028,0.96,"us","us20009ma8","2017-08-18T23:13:26.040Z","80km SW of Champerico, Guatemala","earthquake",5.8,1.9,0.043,158,"reviewed","us","us"
2017-06-13 21:36:23,13.728,-92.2964,10,4.2,"mb",NA,170,0.983,1.02,"us","us20009n3i","2017-08-18T23:13:26.040Z","75km SSW of Champerico, Guatemala","earthquake",2.5,2,0.141,14,"reviewed","us","us"
